Log ID,Table Number,Entry Time,Exit Time,Duration (formatted),Duration (seconds)
1,1,2026-07-27 14:59:47,Still occupied,Still occupied,
2,3,2026-07-27 14:59:47,Still occupied,Still occupied,
3,4,2026-07-27 14:59:47,Still occupied,Still occupied,
4,1,2026-07-27 23:51:41,Still occupied,Still occupied,
5,3,2026-07-27 23:51:41,Still occupied,Still occupied,
6,4,2026-07-27 23:51:41,Still occupied,Still occupied,
